statecode,county,eq_site_limit,hu_site_limit,fl_site_limit
FL,CLAY COUNTY,498960,498960,498960
FL,CLAY COUNTY,1322376.3,1322376.3,1322376.3
FL,CLAY COUNTY,190724.4,190724.4,190724.4
FL,CLAY COUNTY,0,79520.76,0
FL,CLAY COUNTY,0,254281.5,0
FL,CLAY COUNTY,0,515035.62,0
FL,CLAY COUNTY,0,19260000,0
FL,CLAY COUNTY,328500,328500,328500
FL,CLAY COUNTY,315000,315000,315000
FL,CLAY COUNTY,705600,705600,705600
FL,CLAY COUNTY,831498.3,831498.3,831498.3
FL,CLAY COUNTY,0,24059.09,0
FL,CLAY COUNTY,0,48115.94,0
FL,CLAY COUNTY,0,28869.12,0
FL,CLAY COUNTY,0,56135.64,0
FL,CLAY COUNTY,0,48115.94,0
FL,CLAY COUNTY,0,48115.94,0
FL,CLAY COUNTY,0,80192.49,0
FL,CLAY COUNTY,0,48115.94,0
FL,CLAY COUNTY,0,60946.79,0
FL,CLAY COUNTY,0,28869.12,0
FL,CLAY COUNTY,0,13410000,0
FL,CLAY COUNTY,0,1669113.93,0
FL,CLAY COUNTY,0,179562.23,0
FL,CLAY COUNTY,0,177744.16,0
FL,CLAY COUNTY,0,17757.58,0
FL,CLAY COUNTY,0,130129.87,0
FL,CLAY COUNTY,0,42854.77,0
FL,CLAY COUNTY,0,785.58,0
FL,CLAY COUNTY,0,170361.91,0
FL,CLAY COUNTY,0,1430.89,0
FL,CLAY COUNTY,0,129913.27,0
FL,CLAY COUNTY,0,366285.62,0
FL,CLAY COUNTY,0,22512.61,0
FL,SUWANNEE COUNTY,0,9246.6,0
FL,SUWANNEE COUNTY,0,96164.64,0
FL,SUWANNEE COUNTY,0,11095.92,0
FL,SUWANNEE COUNTY,218475,218475,218475
FL,SUWANNEE COUNTY,1400904,1400904,1400904
FL,SUWANNEE COUNTY,4365,4365,4365
FL,SUWANNEE COUNTY,4365,4365,4365
FL,SUWANNEE COUNTY,39789,39789,39789
FL,SUWANNEE COUNTY,24867,24867,24867
FL,SUWANNEE COUNTY,213876,213876,213876
FL,SUWANNEE COUNTY,69435,69435,69435
FL,SUWANNEE COUNTY,14922,14922,14922
FL,SUWANNEE COUNTY,165546,165546,165546
FL,SUWANNEE COUNTY,72837,72837,72837
FL,SUWANNEE COUNTY,72837,72837,72837
FL,SUWANNEE COUNTY,19440,19440,19440
FL,SUWANNEE COUNTY,9945,9945,9945
FL,SUWANNEE COUNTY,0,255878.61,0
FL,SUWANNEE COUNTY,0,153527.17,0
FL,SUWANNEE COUNTY,0,255878.61,0
FL,SUWANNEE COUNTY,0,102351.45,0
FL,SUWANNEE COUNTY,0,155489.66,0
FL,SUWANNEE COUNTY,0,137233.8,0
FL,SUWANNEE COUNTY,0,123596.05,0
FL,SUWANNEE COUNTY,0,107111.11,0
FL,SUWANNEE COUNTY,0,96309.32,0
FL,NASSAU COUNTY,0,104031.7,0
FL,NASSAU COUNTY,338944.5,338944.5,338944.5
FL,NASSAU COUNTY,272349,272349,272349
FL,NASSAU COUNTY,129690,129690,129690
FL,NASSAU COUNTY,123210,123210,123210
FL,NASSAU COUNTY,0,3698.64,0
FL,NASSAU COUNTY,2115760.5,2115760.5,0
FL,NASSAU COUNTY,0,93548.58,0
FL,NASSAU COUNTY,0,1037311.14,0
FL,NASSAU COUNTY,0,15463.3,0
FL,NASSAU COUNTY,0,13893.35,0
FL,NASSAU COUNTY,0,316618.23,0
FL,NASSAU COUNTY,0,54834.66,0
FL,NASSAU COUNTY,0,295269.11,0
FL,NASSAU COUNTY,0,723734.17,0
FL,NASSAU COUNTY,0,1741572,0
FL,COLUMBIA COUNTY,135450,135450,135450
FL,COLUMBIA COUNTY,60300,60300,60300
FL,COLUMBIA COUNTY,22500,22500,22500
FL,COLUMBIA COUNTY,0,34212.42,0
FL,COLUMBIA COUNTY,0,460128.2,0
FL,COLUMBIA COUNTY,0,32169.69,0
FL,COLUMBIA COUNTY,0,50550.75,0
FL,COLUMBIA COUNTY,42300,42300,42300
